Accession,Organism_Name,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
NC_006551,Usutu virus,GCF_000854945.1,"Moureau,G., Cook,S., Lemey,P., Nougairede,A., Forrester,N.L., Khasnatinov,M., Charrel,R.N., Firth,A.E., Gould,E.A., de Lamballerie,X., Melian,E.B., Hinzman,E., Nagasaki,T., Wills,N.M., Nouwens,A.S., Blitvich,B.J., Leung,J., Funk,A., Atkins,J.F., Hall,R., Khromykh,A.A., Bakonyi,T., Kolodziejek,J., Weissenbock,H., Nowotny,N., Url,A., Lussy,H., Rebel-Bauder,B.","National Center for Biotechnology Information, NIH",USA,17/12/2004,,Orthoflavivirus usutuense,11066,complete,,Austria,,,,2001,,PRJNA485481
PQ041659,Usutu virus,,"Nelemans,T., Duyvestyn,J.","LUMC, LUCID",Netherlands,24/07/2024,USUV_TM_Netherlands_2016,Orthoflavivirus usutuense,11064,complete,,Netherlands,,,,2020,,
PQ039613,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,114.2,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,22/10/2023,,
PQ039614,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,137,Orthoflavivirus usutuense,495,partial,"Poland: Krynica Morska, Pomeranian Voivodeship",Poland,,Acanthis flammea,brain,08/11/2023,,
PQ039615,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,CB-2,Orthoflavivirus usutuense,495,partial,"Poland: Pulawy, Lublin Voivodeship",Poland,,Turdus merula,brain,2023-10,,
PQ039616,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,CB-1,Orthoflavivirus usutuense,495,partial,"Poland: Pulawy, Lublin Voivodeship",Poland,,Turdus merula,brain,2023-10,,
PQ039617,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,132.2,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Turdus philomelos,brain,27/09/2023,,
PQ039618,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,124,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Troglodytes troglodytes,brain,06/10/2023,,
PQ039619,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,109.7,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,17/10/2023,,
PQ039620,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,HC-3,Orthoflavivirus usutuense,495,partial,"Poland: Warsaw, Masovian Voivodeship",Poland,,Corvus cornix,brain,2023-10,,
PQ039621,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,119.2,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,,2023-10,,
PQ039622,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,CS,Orthoflavivirus usutuense,453,partial,"Poland: Gora Kalwaria, Masovian Voivodeship",Poland,,Actitis hypoleucos,brain,15/08/2023,,
PQ039623,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,127,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Turdus merula,brain,27/09/2023,,
PQ039624,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,21,Orthoflavivirus usutuense,495,partial,"Poland: Krynica Morska, Pomeranian Voivodeship",Poland,,Fringilla coelebs,brain,28/09/2023,,
PQ039625,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,128,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Turdus merula,brain,22/10/2023,,
PQ039626,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,129,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Turdus merula,brain,26/10/2023,,
PQ039627,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,119.1,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,,2023-10,,
PQ039628,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,115,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,,23/10/2023,,
PQ039629,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,114.1,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,22/10/2023,,
PQ039630,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,155.2,Orthoflavivirus usutuense,495,partial,"Poland: Krynica Morska, Pomeranian Voivodeship",Poland,,Regulus regulus,,05/11/2023,,
PQ039631,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,EJ,Orthoflavivirus usutuense,495,partial,"Poland: Bydgoszcz, Kuyavian-Pomeranian Voivodeship",Poland,,Garrulus glandarius,brain,21/11/2023,,
PQ039632,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,WW,Orthoflavivirus usutuense,495,partial,"Poland: Gora Kalwaria, Masovian Voivodeship",Poland,,Motacilla alba,,12/08/2023,,
PQ039633,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,EB-3,Orthoflavivirus usutuense,495,partial,"Poland: Gora Kalwaria, Masovian Voivodeship",Poland,,Sylvia atricapilla,brain,17/08/2023,,
PQ039634,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,113,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,18/10/2023,,
PQ039635,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,109.1,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,17/10/2023,,
PQ039636,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB286-23_s5,Orthoflavivirus usutuense,495,partial,"Poland: Janow Lubelski, Lublin Voivodeship",Poland,,Anas platyrhynchos,brain,25/07/2023,,
PQ039637,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB286-23_s3,Orthoflavivirus usutuense,495,partial,"Poland: Janow Lubelski, Lublin Voivodeship",Poland,,Anas platyrhynchos,brain,25/07/2023,,
PQ039638,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB285-23,Orthoflavivirus usutuense,495,partial,"Poland: Augustow, Podlaskie Voivodeship",Poland,,Cygnus olor,"brain, abdominal cavity",25/07/2023,,
PQ039639,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB282-23_s4,Orthoflavivirus usutuense,495,partial,"Poland: Tychy, Silesian Voivodeship",Poland,,Anas platyrhynchos,"brain, abdominal cavity",21/07/2023,,
PQ039640,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB282-23_s1,Orthoflavivirus usutuense,495,partial,"Poland: Tychy, Silesian Voivodeship",Poland,,Anas platyrhynchos,"brain, abdominal cavity",21/07/2023,,
PQ039641,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,BHG-s1,Orthoflavivirus usutuense,471,partial,"Poland: Warsaw, Masovian Voivodeship",Poland,,Anser indicus,brain,2023-10,,
PQ039642,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,BHG-s3,Orthoflavivirus usutuense,388,partial,"Poland: Warsaw, Masovian Voivodeship",Poland,,Anser indicus,brain,2023-10,,
PQ039643,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,MB294-23,Orthoflavivirus usutuense,471,partial,"Poland: Gorzow Wielkopolski, Lubuskie Voivodeship",Poland,,Falco subbuteo,brain,12/10/2023,,
PQ039644,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,123,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Sylvia atricapilla,brain,10/09/2023,,
PQ039645,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,138.3,Orthoflavivirus usutuense,495,partial,"Poland: Krynica Morska, Pomeranian Voivodeship",Poland,,Acanthis flammea,brain,09/11/2023,,
PQ039646,Usutu virus,,"Dziadek,K., Domanska-Blicharz,K.","National Veterinary Research Institute, Department of Poultry Diseases",Poland,23/07/2024,118.2,Orthoflavivirus usutuense,495,partial,"Poland: Bukowo, West-Pomeranian Voivodeship",Poland,,Regulus regulus,brain,29/10/2023,,
PP746541,Usutu virus,,"Panagopoulou,A., Patsoula,E., Tegos,N., Mpimpa,A.","University of West Attica, Public Health Policy",Greece,08/05/2024,USUV139/2020/GR,Orthoflavivirus usutuense,495,partial,Kentriki Makedonia,Greece,,Culex pipiens complex,,07/09/2020,,
PP746542,Usutu virus,,"Panagopoulou,A., Patsoula,E., Tegos,N., Mpimpa,A.","University of West Attica, Public Health Policy",Greece,08/05/2024,USUV1229/2022/GR,Orthoflavivirus usutuense,495,partial,Kentriki Makedonia,Greece,,Culex pipiens complex,,28/09/2022,,
PP746543,Usutu virus,,"Panagopoulou,A., Patsoula,E., Tegos,N., Mpimpa,A.","University of West Attica, Public Health Policy",Greece,08/05/2024,USUV39/2020/GR,Orthoflavivirus usutuense,495,partial,Kentriki Makedonia,Greece,,Culex pipiens complex,,24/08/2020,,
PP354988,Usutu virus,,"Zlabravec,Z., Kvapil,P., Slavec,B., Zorman Rojs,O., Svara,T., Racnik,J.","Veterinary Faculty, University of Ljubljana, Institute for Poultry, Birds, Small Mammals and Reptiles",Slovenia,05/05/2024,,Orthoflavivirus usutuense,599,partial,Ljubljana Zoo,Slovenia,,Strix nebulosa,,30/08/2022,,
PP496780,Usutu virus,,"Sikutova,S., Mendel,J., Mravcova,K., Kejikova,R., Hubalek,Z., Rudolf,I.","Institute of Vertebrate Biology, Molecular Genetics Laboratory",Czech Republic,26/03/2024,USU-OE1/2021,Orthoflavivirus usutuense,264,partial,Czech Republic,Czech Republic,,Oeciacus hirundinis,,15/06/2021,,
PP104383,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25180.1.2,Orthoflavivirus usutuense,10837,complete,Marche,Italy,,Culex pipiens,,02/08/2023,,
PP104384,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25181.1.2,Orthoflavivirus usutuense,10534,partial,Emilia-Romagna,Italy,,Culex pipiens,,22/09/2023,,
PP104385,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25182.1.2,Orthoflavivirus usutuense,10494,partial,Veneto,Italy,,Culex pipiens,,22/09/2023,,
PP104386,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25183.1.2,Orthoflavivirus usutuense,10495,partial,Emilia-Romagna,Italy,,Culex pipiens,,08/09/2023,,
PP104387,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25185.1.2,Orthoflavivirus usutuense,10826,complete,Umbria,Italy,,Sturnus vulgaris,,13/09/2023,,
PP104388,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25186.1.2,Orthoflavivirus usutuense,10837,complete,Umbria,Italy,,Turdus merula,,22/09/2023,,
PP104389,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25187.1.2,Orthoflavivirus usutuense,10495,partial,Emilia-Romagna,Italy,,Culex pipiens,,22/09/2023,,
PP104390,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25188.1.2,Orthoflavivirus usutuense,10424,partial,Veneto,Italy,,Columbidae,,25/08/2023,,
PP104391,Usutu virus,,"Savini,G., Monaco,F., Teodori,L., Amatori,G., Marcacci,M., Valleriani,F.","Istituto Zooprofilattico Sperimentale 'G. Caporale', Viral Foreign Deseases of Animals",Italy,02/02/2024,TE.25189.1.2,Orthoflavivirus usutuense,10837,complete,Emilia-Romagna,Italy,,Turdus merula,,07/09/2023,,
