"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"1","OR166169","ED-I-74/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10984,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-74/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"2","OR166168","ED-I-68/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10917,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-68/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"3","OR166167","ED-I-67/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11062,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-67/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"4","OR166166","ED-I-64/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10959,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-64/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"5","OR166165","ED-I-55/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11066,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-55/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"6","OR166164","ED-I-52/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10987,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-52/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"7","OR166163","ED-I-37/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10929,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-37/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"8","OR166162","ED-I-30/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,11066,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-30/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"9","OR166161","ED-I-27/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Turdus","merula",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-27/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
"10","OR166160","ED-I-23/18",2018-01-01,2018,"DE","Germany",NA,NA,NA,"Aves","Passeriformes","Sitta","europaea",NA,10920,"nflg","Nanopore","UNVERIFIED: Usutu virus isolate ED-I-23/18 genomic sequence",NA,"Submitted (20-JUN-2023) Institute of Novel and Emerging Infectious Diseases, Friedrich-Loeffler-Institut, Sudufer 10, Greifswald, Mecklenburg-Vorpommern 17493, Germany",NA,"rna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-08-27,"European","nflg","collection.date_resolution,subdivision_missing"
