tipnames,sequence_accession,sequence_isolate,nuts0_name,nuts0_id,nuts1_name,nuts1_id,nuts2_name,nuts2_id,nuts3_name,nuts3_id,date_ymd,date_dec,date_ym,date_y,host_class,host_order,host_family,host_sciname,host_commonname,organization,collection_location,tissue_specimen_source,biosample,bioproject,date_format,geocode_coords,location_precision,sequence_start,sequence_end,sequence_length,generegion_NS5_8968_9264,generegion_NS5_9100_9600,generegion_NS5_10042_10312,generegion_env_1003_1491,generegion_nflg,lineage,sublineage,drop_fli
PQ039613|1142|regulus_regulus|PL|2023-10-22,PQ039613,114.2,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-22,2023.80547945205,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039614|137|acanthis_flammea|PL|2023-11-08,PQ039614,137,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-11-08,2023.85205479452,2023-11,2023,Aves,passeriformes,fringillidae,acanthis flammea,common redpoll,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(19.4441407, 54.3799913)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039617|1322|turdidae_sp|PL|2023-09-27,PQ039617,132.2,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-09-27,2023.73698630137,2023-09,2023,Aves,passeriformes,turdidae,turdidae sp.,thrush sp.,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039618|124|pan_troglodytes|PL|2023-10-06,PQ039618,124,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-06,2023.76164383562,2023-10,2023,mammalia,primates,hominidae,pan troglodytes,chimpanzee,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039619|1097|regulus_regulus|PL|2023-10-17,PQ039619,109.7,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-17,2023.79178082192,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039622|CS|actitis_hypoleucos|PL|2023-08-15,PQ039622,CS,Polska,PL,Makroregion województwo mazowieckie,PL9,Warszawski stołeczny,PL91,Warszawski zachodni,PL913,2023-08-15,2023.61917808219,2023-08,2023,Aves,charadriiformes,scolopacidae,actitis hypoleucos,common sandpiper,"National Veterinary Research Institute, Department of Poultry Diseases","poland: gora kalwaria, masovian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(21.215337, 51.976466)",exact,9149,9593,444,0,1,0,0,0,Africa 2,NA,FALSE
PQ039623|127|turdus_merula|PL|2023-09-27,PQ039623,127,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-09-27,2023.73698630137,2023-09,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 3,NA,FALSE
PQ039624|21|fringilla_coelebs|PL|2023-09-28,PQ039624,21,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-09-28,2023.7397260274,2023-09,2023,Aves,passeriformes,fringillidae,fringilla coelebs,common chaffinch,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(19.4441407, 54.3799913)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039625|128|turdus_merula|PL|2023-10-22,PQ039625,128,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-22,2023.80547945205,2023-10,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039626|129|turdus_merula|PL|2023-10-26,PQ039626,129,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-26,2023.81643835616,2023-10,2023,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039628|115|regulus_regulus|PL|2023-10-23,PQ039628,115,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-23,2023.80821917808,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",NA,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039629|1141|regulus_regulus|PL|2023-10-22,PQ039629,114.1,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-22,2023.80547945205,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039630|1552|regulus_regulus|PL|2023-11-05,PQ039630,155.2,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-11-05,2023.84383561644,2023-11,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",NA,NA,NA,dd-mm-yyyy,"c(19.4441407, 54.3799913)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039631|EJ|garrulus_glandarius|PL|2023-11-21,PQ039631,EJ,Polska,PL,Makroregion północny,PL6,Kujawsko-pomorskie,PL61,Bydgosko-toruński,PL613,2023-11-21,2023.88767123288,2023-11,2023,Aves,passeriformes,corvidae,garrulus glandarius,eurasian jay,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bydgoszcz, kuyavian-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(18.0084378, 53.1234804)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039632|WW|motacilla_alba|PL|2023-08-12,PQ039632,WW,Polska,PL,Makroregion województwo mazowieckie,PL9,Warszawski stołeczny,PL91,Warszawski zachodni,PL913,2023-08-12,2023.61095890411,2023-08,2023,Aves,passeriformes,motacillidae,motacilla alba,white wagtail,"National Veterinary Research Institute, Department of Poultry Diseases","poland: gora kalwaria, masovian voivodeship",NA,NA,NA,dd-mm-yyyy,"c(21.215337, 51.976466)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039633|EB-3|sylvia_atricapilla|PL|2023-08-17,PQ039633,EB-3,Polska,PL,Makroregion województwo mazowieckie,PL9,Warszawski stołeczny,PL91,Warszawski zachodni,PL913,2023-08-17,2023.62465753425,2023-08,2023,Aves,passeriformes,sylviidae,sylvia atricapilla,eurasian blackcap,"National Veterinary Research Institute, Department of Poultry Diseases","poland: gora kalwaria, masovian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(21.215337, 51.976466)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039634|113|regulus_regulus|PL|2023-10-18,PQ039634,113,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-18,2023.79452054795,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039635|1091|regulus_regulus|PL|2023-10-17,PQ039635,109.1,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-17,2023.79178082192,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039636|MB286-23_s5|anas_platyrhynchos|PL|2023-07-25,PQ039636,MB286-23_s5,Polska,PL,Makroregion wschodni,PL8,Lubelskie,PL81,Puławski,PL815,2023-07-25,2023.56164383562,2023-07,2023,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,"National Veterinary Research Institute, Department of Poultry Diseases","poland: janow lubelski, lublin voivodeship",brain,NA,NA,dd-mm-yyyy,"c(22.41078, 50.70669)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039637|MB286-23_s3|anas_platyrhynchos|PL|2023-07-25,PQ039637,MB286-23_s3,Polska,PL,Makroregion wschodni,PL8,Lubelskie,PL81,Puławski,PL815,2023-07-25,2023.56164383562,2023-07,2023,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,"National Veterinary Research Institute, Department of Poultry Diseases","poland: janow lubelski, lublin voivodeship",brain,NA,NA,dd-mm-yyyy,"c(22.41078, 50.70669)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039638|MB285-23|cygnus_olor|PL|2023-07-25,PQ039638,MB285-23,Polska,PL,Makroregion wschodni,PL8,Podlaskie,PL84,Suwalski,PL843,2023-07-25,2023.56164383562,2023-07,2023,Aves,anseriformes,anatidae,cygnus olor,mute swan,"National Veterinary Research Institute, Department of Poultry Diseases","poland: augustow, podlaskie voivodeship","brain, abdominal cavity",NA,NA,dd-mm-yyyy,"c(22.9796023, 53.8434431)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039639|MB282-23_s4|anas_platyrhynchos|PL|2023-07-21,PQ039639,MB282-23_s4,Polska,PL,Makroregion południowy,PL2,Śląskie,PL22,Tyski,PL22C,2023-07-21,2023.55068493151,2023-07,2023,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,"National Veterinary Research Institute, Department of Poultry Diseases","poland: tychy, silesian voivodeship","brain, abdominal cavity",NA,NA,dd-mm-yyyy,"c(19.0200022, 50.1218007)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039640|MB282-23_s1|anas_platyrhynchos|PL|2023-07-21,PQ039640,MB282-23_s1,Polska,PL,Makroregion południowy,PL2,Śląskie,PL22,Tyski,PL22C,2023-07-21,2023.55068493151,2023-07,2023,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,"National Veterinary Research Institute, Department of Poultry Diseases","poland: tychy, silesian voivodeship","brain, abdominal cavity",NA,NA,dd-mm-yyyy,"c(19.0200022, 50.1218007)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039643|MB294-23|falco_subbuteo|PL|2023-10-12,PQ039643,MB294-23,Polska,PL,Makroregion północno-zachodni,PL4,Lubuskie,PL43,Gorzowski,PL431,2023-10-12,2023.77808219178,2023-10,2023,Aves,falconiformes,falconidae,falco subbuteo,eurasian hobby,"National Veterinary Research Institute, Department of Poultry Diseases","poland: gorzow wielkopolski, lubuskie voivodeship",brain,NA,NA,dd-mm-yyyy,"c(15.2369305, 52.7325285)",exact,9100,9569,469,1,1,0,0,0,Africa 2,NA,FALSE
PQ039644|123|sylvia_atricapilla|PL|2023-09-10,PQ039644,123,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-09-10,2023.6904109589,2023-09,2023,Aves,passeriformes,sylviidae,sylvia atricapilla,eurasian blackcap,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039645|1383|acanthis_flammea|PL|2023-11-09,PQ039645,138.3,Polska,PL,Makroregion północny,PL6,Pomorskie,PL63,Gdański,PL634,2023-11-09,2023.85479452055,2023-11,2023,Aves,passeriformes,fringillidae,acanthis flammea,common redpoll,"National Veterinary Research Institute, Department of Poultry Diseases","poland: krynica morska, pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(19.4441407, 54.3799913)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PQ039646|1182|regulus_regulus|PL|2023-10-29,PQ039646,118.2,Polska,PL,Makroregion północno-zachodni,PL4,Zachodniopomorskie,PL42,Szczecinecko-pyrzycki,PL427,2023-10-29,2023.82465753425,2023-10,2023,Aves,passeriformes,regulidae,regulus regulus,goldcrest,"National Veterinary Research Institute, Department of Poultry Diseases","poland: bukowo, west-pomeranian voivodeship",brain,NA,NA,dd-mm-yyyy,"c(16.2007745, 53.0997614)",exact,9100,9593,493,1,1,0,0,0,Africa 2,NA,FALSE
PP354988|NA|strix_nebulosa|SI|2022-08-30,PP354988,NA,Slovenija,SI,Slovenija,SI0,Zahodna Slovenija,SI04,Osrednjeslovenska,SI041,2022-08-30,2022.6602739726,2022-08,2022,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,"Veterinary Faculty, University of Ljubljana, Institute for Poultry, Birds, Small Mammals and Reptiles",ljubljana zoo,NA,NA,NA,dd-mm-yyyy,"c(14.4720881, 46.0527405)",exact,10088,10313,225,0,0,1,0,0,NA,NA,FALSE
NA|USUV-7991/France/2016|turdus_merula|FR|2016-08-15,NA,USUV-7991/France/2016,France,FR,Grand Est,FRF,Alsace,FRF1,Haut-Rhin,FRF12,2016-08-15,2016.62021857923,2016-08,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,brunstatt,NA,NA,NA,dd-mm-yyyy,"c(7.3191572, 47.7229182)",exact,8990,9956,966,1,1,0,0,0,NA,NA,FALSE
NA|USUV-7994/France/2016|turdus_merula|FR|2016-08-15,NA,USUV-7994/France/2016,France,FR,Grand Est,FRF,Alsace,FRF1,Haut-Rhin,FRF12,2016-08-15,2016.62021857923,2016-08,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,brunstatt,NA,NA,NA,dd-mm-yyyy,"c(7.3191572, 47.7229182)",exact,9000,9915,915,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8640/France/2016|turdus_merula|FR|2016-08-16,NA,USUV-8640/France/2016,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Rhône,FRK26,2016-08-16,2016.62295081967,2016-08,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,caluire-et-cuire,NA,NA,NA,dd-mm-yyyy,"c(4.842426, 45.79681)",exact,8987,9913,926,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8645/France/2016|turdus_merula|FR|2016-07-25,NA,USUV-8645/France/2016,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Rhône,FRK26,2016-07-25,2016.56284153005,2016-07,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,saint-maurice-sur-dargoire,NA,NA,NA,dd-mm-yyyy,"c(4.631063, 45.5811459)",exact,8990,9933,943,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8760/France/2016|turdus_merula|FR|2016-09-21,NA,USUV-8760/France/2016,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Loire,FRK25,2016-09-21,2016.72131147541,2016-09,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,cellieu,NA,NA,NA,dd-mm-yyyy,"c(4.541576, 45.523068)",exact,8990,9964,974,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8784/France/2016|turdus_merula|FR|2016-09-23,NA,USUV-8784/France/2016,France,FR,Nouvelle-Aquitaine,FRI,Limousin,FRI2,Haute-Vienne,FRI23,2016-09-23,2016.72677595628,2016-09,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,isle,NA,NA,NA,dd-mm-yyyy,"c(1.226734, 45.805176)",exact,8995,9940,945,1,1,0,0,0,NA,NA,FALSE
NA|USUV-10211/France/2016|turdus_merula|FR|2016-09-19,NA,USUV-10211/France/2016,France,FR,Grand Est,FRF,Alsace,FRF1,Haut-Rhin,FRF12,2016-09-19,2016.71584699454,2016-09,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,kappelen,NA,NA,NA,dd-mm-yyyy,"c(7.440652, 47.6146559)",exact,9004,9977,973,1,1,0,0,0,NA,NA,FALSE
NA|USUV-10212/France/2016|turdus_merula|FR|2016-09-22,NA,USUV-10212/France/2016,France,FR,Grand Est,FRF,Alsace,FRF1,Haut-Rhin,FRF12,2016-09-22,2016.72404371585,2016-09,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,brinckheim,NA,NA,NA,dd-mm-yyyy,"c(7.458703, 47.626165)",exact,8995,9940,945,1,1,0,0,0,NA,NA,FALSE
NA|USUV-10270/France/2016|turdus_merula|FR|2016-10-05,NA,USUV-10270/France/2016,France,FR,Nouvelle-Aquitaine,FRI,Limousin,FRI2,Haute-Vienne,FRI23,2016-10-05,2016.75956284153,2016-10,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,*limoges (laboratoire départemental d'analyses et de recherches 87),NA,NA,NA,dd-mm-yyyy,"c(1.2385565, 45.8120005)",exact,8996,9977,981,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8646/France/2016|turdus_merula|FR|2016-08-03,NA,USUV-8646/France/2016,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Rhône,FRK26,2016-08-03,2016.58743169399,2016-08,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,saint-pierre-de-chandieu,NA,NA,NA,dd-mm-yyyy,"c(5.010241, 45.644571)",exact,8988,9984,996,1,1,0,0,0,NA,NA,FALSE
NA|USUV-8648/France/2016|turdus_merula|FR|2016-08-03,NA,USUV-8648/France/2016,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Rhône,FRK26,2016-08-03,2016.58743169399,2016-08,2016,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,saint-pierre-de-chandieu,NA,NA,NA,dd-mm-yyyy,"c(5.010241, 45.644571)",exact,8992,9978,986,1,1,0,0,0,NA,NA,FALSE
NA|USUV-7285/France/2017|strix_nebulosa|FR|2017-09-18,NA,USUV-7285/France/2017,France,FR,Centre — Val de Loire,FRB,Centre — Val de Loire,FRB0,Loir-et-Cher,FRB05,2017-09-18,2017.71232876712,2017-09,2017,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,NA,saint-aignan (zooparc de beauval),NA,NA,NA,dd-mm-yyyy,"c(1.35309, 47.2476534)",exact,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA|USUV-7391/France/2017|turdus_merula|FR|2017-09-12,NA,USUV-7391/France/2017,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Savoie,FRK27,2017-09-12,2017.69589041096,2017-09,2017,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,fréterive,NA,NA,NA,dd-mm-yyyy,"c(6.208087, 45.584693)",exact,9009,9825,816,1,1,0,0,0,NA,NA,FALSE
NA|USUV-7641/France/2017|turdus_merula|FR|2017-09-18,NA,USUV-7641/France/2017,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Isère,FRK24,2017-09-18,2017.71232876712,2017-09,2017,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,le touvet,NA,NA,NA,dd-mm-yyyy,"c(5.950642, 45.358854)",exact,9009,9825,816,1,1,0,0,0,NA,NA,FALSE
NA|USUV-9784/France/2017|turdidae_sp|FR|2017-09-30,NA,USUV-9784/France/2017,France,FR,Auvergne-Rhône-Alpes,FRK,Rhône-Alpes,FRK2,Ardèche,FRK22,2017-09-30,2017.74520547945,2017-09,2017,Aves,passeriformes,turdidae,turdidae sp.,thrush sp.,NA,flaviac,NA,NA,NA,dd-mm-yyyy,"c(4.675999, 44.747241)",exact,8985,9891,906,1,1,0,0,0,NA,NA,FALSE
NA|USUV-4752/France/2018|strix_nebulosa|FR|2018-07-27,NA,USUV-4752/France/2018,France,FR,Ile-de-France,FR1,Ile-de-France,FR10,Paris,FR101,2018-07-27,2018.56712328767,2018-07,2018,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,NA,paris (jardin des plantes),NA,NA,NA,dd-mm-yyyy,"c(2.3595996, 48.8439621)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-4817/France/2018|turdus_merula|FR|2018-07-23,NA,USUV-4817/France/2018,France,FR,Centre — Val de Loire,FRB,Centre — Val de Loire,FRB0,Indre,FRB03,2018-07-23,2018.55616438356,2018-07,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,douadic,NA,NA,NA,dd-mm-yyyy,"c(1.111973, 46.7045109)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-4838/France/2018|turdus_merula|FR|2018-07-26,NA,USUV-4838/France/2018,France,FR,Centre — Val de Loire,FRB,Centre — Val de Loire,FRB0,Loir-et-Cher,FRB05,2018-07-26,2018.56438356164,2018-07,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,cheverny,NA,NA,NA,dd-mm-yyyy,"c(1.46013, 47.49973)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-4997/France/2018|turdus_merula|FR|2018-07-24,NA,USUV-4997/France/2018,France,FR,Nouvelle-Aquitaine,FRI,Limousin,FRI2,Haute-Vienne,FRI23,2018-07-24,2018.55890410959,2018-07,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,mailhac-sur-benaize,NA,NA,NA,dd-mm-yyyy,"c(1.329387, 46.322097)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5102/France/2018|turdus_merula|FR|2018-08-03,NA,USUV-5102/France/2018,France,FR,Nouvelle-Aquitaine,FRI,Poitou-Charentes,FRI3,Vienne,FRI34,2018-08-03,2018.58630136986,2018-08,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,payré,NA,NA,NA,dd-mm-yyyy,"c(0.211289, 46.340364)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5114/France/2018|turdus_merula|FR|2018-08-06,NA,USUV-5114/France/2018,France,FR,Pays de la Loire,FRG,Pays de la Loire,FRG0,Loire-Atlantique,FRG01,2018-08-06,2018.59452054795,2018-08,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,la meilleraye-de-bretagne,NA,NA,NA,dd-mm-yyyy,"c(-1.401836, 47.559508)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5278/France/2018|strix_nebulosa|FR|2018-07-30,NA,USUV-5278/France/2018,France,FR,Pays de la Loire,FRG,Pays de la Loire,FRG0,Mayenne,FRG03,2018-07-30,2018.57534246575,2018-07,2018,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,NA,château-gontier-sur-mayenne (refuge de l'arche),NA,NA,NA,dd-mm-yyyy,"c(-0.6998104, 47.8143251)",exact,8998,9262,264,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5279/France/2018|strix_nebulosa|FR|2018-08-01,NA,USUV-5279/France/2018,France,FR,Pays de la Loire,FRG,Pays de la Loire,FRG0,Mayenne,FRG03,2018-08-01,2018.58082191781,2018-08,2018,Aves,strigiformes,strigidae,strix nebulosa,great grey owl,NA,château-gontier-sur-mayenne (refuge de l'arche),NA,NA,NA,dd-mm-yyyy,"c(-0.6998104, 47.8143251)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5326/France/2018|turdus_merula|FR|2018-08-09,NA,USUV-5326/France/2018,France,FR,Nouvelle-Aquitaine,FRI,Poitou-Charentes,FRI3,Deux-Sèvres,FRI33,2018-08-09,2018.60273972603,2018-08,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,la crèche,NA,NA,NA,dd-mm-yyyy,"c(-0.3000753, 46.3613632)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
NA|USUV-5356/France/2018|turdus_merula|FR|2018-08-16,NA,USUV-5356/France/2018,France,FR,Ile-de-France,FR1,Ile-de-France,FR10,Paris,FR101,2018-08-16,2018.62191780822,2018-08,2018,Aves,passeriformes,turdidae,turdus merula,eurasian blackbird,NA,paris (parc zoologique de paris),NA,NA,NA,dd-mm-yyyy,"c(2.4144067, 48.8334093)",exact,8969,9262,293,1,0,0,0,0,NA,NA,FALSE
