tipnames	lat	lon	nuts0_id	nuts1_id
PP354988|NA|strix_nebulosa|SI|2022-08-30	46.0527405	14.4720881	SI	SI0
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	45.387051	11.7915896	IT	ITH
NA|23pool1744_23RS1822-82|culex_pipiens|IT|2023-08-03	45.7289954	11.9145706	IT	ITH
NA|23VIR9300|turdus_merula|IT|2023-10-01	45.5215467	10.8379705	IT	ITH
NA|23pool1901_23RS1909-300|culex_pipiens|IT|2023-08-16	45.3523478	12.0993234	IT	ITH
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	45.3044238	11.1784065	IT	ITH
NA|23pool2138_23RS2497-1|culex_pipiens|IT|2023-11-13	45.3920141	11.5755758	IT	ITH
NA|23VIR8708|columbidae_sp|IT|2023-09-01	45.3705187	11.9204803	IT	ITH
MN912549|NA|culex_pipiens|SK|2018	48.1485965	17.1077477	SK	SK0
MN912554|NA|culex_pipiens|SK|2018	48.4039871	19.6031622	SK	SK0
MK956040|USUV-M_661|turdidae_sp|DE|2018	51.3396955	12.3730747	DE	DED
MK881042|USUV220/2018/SK|culex_pipiens|SK|2018	47.7641821	18.0441986	SK	SK0
KU573070|216606/2013|culex_pipiens|IT|2013	44.4478787	11.8229725	IT	ITH
KU573071|218200/2013|culex_pipiens|IT|2013	44.9802679	11.9787016	IT	ITH
KU573074|245735-8/2013|culex_pipiens|IT|2013	44.6788747	11.0411597	IT	ITH
KU573076|201602-25/2014|culex_pipiens|IT|2014	44.7326319	10.7878059	IT	ITH
KX257050|NA|turdus_merula|IT|2010	43.7197926	13.2152224	IT	ITI
KF055444|NA|culex_pipiens|IT|2012	41.4309149	13.9002616	IT	ITI
PQ462398|9458_2024_USUV_HU|homo_sapiens|HU|2024	47.497912	19.040235	HU	HU1
OR141573|19_51217-UGF178|turdus_merula|DE|2019-08	51.1192747	14.4404735	DE	DED
OR141576|19_51217-UGF194|turdus_merula|DE|2019-09	51.941076700000004	13.8911712	DE	DE4
OQ414983|TV193/2019|culex_pipiens|RO|2019-07	44.4267674	26.1025384	RO	RO3
MK598452|NA|turdus_merula|HU|2017-08	46.8416936	16.8416322	HU	HU2
MK598453|NA|turdus_merula|HU|2017-09	46.7112802	19.8515197	HU	HU3
MW533154|E203C/2019/Kosice/SVK|culex_pipiens|SK|2019-07-26	48.7163857	21.2610746	SK	SK0
MW160853|NA|culex_pipiens|AT|2018-09-05	48.1179477	16.5662578	AT	AT1
MN989418|Usutu/Goose/Italy/17917/2018|anatidae__duck_sp_|IT|2018-08-20	42.9200877	13.8360396	IT	ITI
MT891318|USUV/HR/mosquito/102/2018|culex_pipiens|HR|2018-07-19	45.8150108	15.981919	HR	HR0
MT891319|USUV/HR/human/10812/2018|homo_sapiens|HR|2018-09-17	45.4932805	18.0975888	HR	HR0
MT891321|USUV/HR/mosquito/34/2019|culex_pipiens|HR|2019-08-01	45.8150108	15.981919	HR	HR0
MN395370|NA|culex_pipiens|CZ|2018-08-14	49.0846859	14.717274	CZ	CZ0
MN395384|NA|turdus_merula|CZ|2017-08-05	49.1950602	16.6068371	CZ	CZ0
MN419895|NA|culex_modestus|CZ|2016-09-01	48.7739859	16.7623041	CZ	CZ0
MK598444|NA|turdus_merula|AT|2017-09-14	48.1222795	16.3347827	AT	AT1
