tipnames	nuts0_id	nuts1_id	nuts2_id	nuts3_id	lat	long
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	IT	ITH	ITH3	ITH36	45.387051	11.7915896
NA|23VIR9300|turdus_merula|IT|2023-10-01	IT	ITH	ITH3	ITH31	45.5215467	10.8379705
NA|23VIR8795|turdus_merula|IT|2023-08-23	IT	ITH	ITH3	ITH35	45.6179681	12.4542146
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	IT	ITH	ITH3	ITH31	45.3044238	11.1784065
NA|23pool2138_23RS2497-1|culex_pipiens|IT|2023-11-13	IT	ITH	ITH3	ITH32	45.3920141	11.5755758
NA|23VIR8708|columbidae_sp|IT|2023-09-01	IT	ITH	ITH3	ITH36	45.3705187	11.9204803
KU573071|218200/2013|culex_pipiens|IT|2013	IT	ITH	ITH5	ITH56	44.9802679	11.9787016
KU573074|245735-8/2013|culex_pipiens|IT|2013	IT	ITH	ITH5	ITH54	44.6788747	11.0411597
KU573075|201602-24/2014|culex_pipiens|IT|2014	IT	ITH	ITH5	ITH53	44.7326319	10.7878059
OQ414983|TV193/2019|culex_pipiens|RO|2019-07	RO	RO3	RO32	RO321	44.4267674	26.1025384
MN989418|Usutu/Goose/Italy/17917/2018|anatidae__duck_sp_|IT|2018-08-20	IT	ITI	ITI3	ITI34	42.9200877	13.8360396
MF991886|BD1/17-AT|homo_sapiens|AT|2017-07-24	AT	AT1	AT13	AT130	48.2080696	16.3713095
MF063042|AT-N211/16|turdus_merula|AT|2016-09-29	AT	AT1	AT12	AT127	48.1186571	16.6126378
MF063043|HU-47540/16|turdus_merula|HU|2016-09-26	HU	HU2	HU22	HU223	46.8416936	16.8416322
PV541149|7096_2024|homo_sapiens|HU|2024-08-07	HU	HU2	HU21	HU211	47.196537	18.6115195
PV501206|205|culex_sp|HU|2024-07-21	HU	HU1	HU12	HU120	47.4068857	19.2624362
PV501207|265|culex_sp|HU|2024-07-21	HU	HU1	HU11	HU110	47.497912	19.040235
PV501208|296|culex_sp|HU|2024-08-02	HU	HU1	HU11	HU110	47.3939599	19.1225229
PV501209|373|culex_sp|HU|2024-08-16	HU	HU1	HU12	HU120	47.4068857	19.2624362
PV501210|406|culex_sp|HU|2024-08-24	HU	HU1	HU11	HU110	47.497912	19.040235
PV501211|412|culex_sp|HU|2024-08-07	HU	HU1	HU11	HU110	47.497912	19.040235
PV501212|416|culex_sp|HU|2024-07-31	HU	HU1	HU11	HU110	47.497912	19.040235
PV523802|9731|homo_sapiens|HU|2024-10-12	HU	HU1	HU11	HU110	47.497912	19.040235
NA|USUV-GR1439/2024|homo_sapiens|EL|2024-09-16	EL	EL5	EL52	EL522	40.6400629	22.9444191
MT784899|NA|turdus_merula|IT|2017	IT	NA	NA	NA	41.87194	12.56738
KX555627|NA|turdus_merula|IT|2010	IT	NA	NA	NA	41.87194	12.56738
KX816647|208576-8/2011|culex_pipiens|IT|2011-08	IT	NA	NA	NA	41.87194	12.56738
KX816649|231247/2011|turdus_merula|IT|2011-09	IT	NA	NA	NA	41.87194	12.56738
KX816651|211204-8/2012|culex_pipiens|IT|2012-08	IT	NA	NA	NA	41.87194	12.56738
PQ772639|USUV-HUN-SM2024|homo_sapiens|HU|2024-11-11	HU	NA	NA	NA	47.162494	19.503304
ON813235|ITA2021_300240|turdus_merula|IT|2021	IT	ITH	ITH5	NA	44.5967607	11.2186396
ON813236|305920/2021|culex_pipiens|IT|2021	IT	ITF	ITF1	NA	42.1920119	13.7289167
PP104383|TE2518012|culex_pipiens|IT|2023-08-02	IT	ITI	ITI3	NA	43.462735	13.3587288
PP104388|TE2518612|turdus_merula|IT|2023-09-22	IT	ITI	ITI2	NA	42.938004	12.6216211
PP104389|TE2518712|culex_pipiens|IT|2023-09-22	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR921093|2023TE1639111|culex_pipiens|IT|2023-08-11	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR921097|2023TE1640411|culex_pipiens|IT|2023-08-11	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR921100|2023TE1837011|culex_pipiens|IT|2023-09-08	IT	ITH	ITH3	NA	45.7623333	11.690976
OR921104|2023TE1838911|culex_pipiens|IT|2023-09-08	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR921105|2023TE1839111|phoenicurus_phoenicurus|IT|2023-09-08	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR921106|2023TE1699411|culex_pipiens|IT|2023-08-24	IT	ITH	ITH3	NA	45.7623333	11.690976
OR757488|1572124|culex_pipiens|IT|2023-07-06	IT	ITH	ITH3	NA	45.7623333	11.690976
OR757491|17404212|laridae_sp|IT|2023-07-20	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR757493|17404216|culex_pipiens|IT|2023-07-15	IT	ITC	ITC1	NA	45.0522366	7.5153885
OR757494|17404220|turdus_merula|IT|2023-07-24	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR757495|1740422|culex_pipiens|IT|2023-07-18	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR757496|1740423|NA|IT|2023-07-15	IT	ITH	ITH5	NA	44.5967607	11.2186396
OR757497|1740425|culex_pipiens|IT|2023-07-16	IT	ITH	ITH5	NA	44.5967607	11.2186396
OP734246|NA|culex_pipiens|IT|2022-07-29	IT	ITH	ITH4	NA	46.2259177	13.1033646
OP734247|NA|culex_pipiens|IT|2022-07-29	IT	ITH	ITH3	NA	45.7623333	11.690976
OP734248|NA|culex_pipiens|IT|2022-07-29	IT	ITC	ITC4	NA	45.4790671	9.8452433
OP734249|NA|culex_pipiens|IT|2022-08-01	IT	ITI	ITI3	NA	43.462735	13.3587288
OP734252|NA|culex_pipiens|IT|2022-08-01	IT	ITI	ITI4	NA	41.6552418	12.989615
OP734253|NA|culex_pipiens|IT|2022-08-05	IT	ITH	ITH5	NA	44.5967607	11.2186396
OP734254|NA|NA|IT|2022-08-08	IT	ITI	ITI1	NA	43.5671153	10.9807003
OP734255|NA|culex_pipiens|IT|2022-07-27	IT	ITH	ITH5	NA	44.5967607	11.2186396
OP734257|NA|culex_pipiens|IT|2022-07-22	IT	ITH	ITH5	NA	44.5967607	11.2186396
OP734258|NA|culex_pipiens|IT|2022-07-27	IT	ITI	ITI4	NA	41.6552418	12.989615
OP734259|NA|culex_pipiens|IT|2022-07-25	IT	ITH	ITH3	NA	45.7623333	11.690976
OP734260|NA|culex_pipiens|IT|2022-07-08	IT	ITI	ITI3	NA	43.462735	13.3587288
HM569263|NA|homo_sapiens|IT|2009-09-24	IT	ITH	ITH5	NA	44.5967607	11.2186396
NA|20VIR5077|turdus_merula|IT|2020-08-21	IT	ITH	ITH3	ITH35	45.60318	12.55874
NA|20VIR4951|serinus_canaria|IT|2020-08-19	IT	ITH	ITH3	ITH36	45.4105029	11.8782071
NA|22VIR7086-3|turdus_merula|IT|2022-07-18	IT	ITH	ITH3	ITH35	45.60318	12.55874
NA|22VIR8404-2|turdus_merula|IT|2022-09-01	IT	ITH	ITH4	ITH42	46.0652851	13.2373414
